model,accuracy,precision,recall,f1
LOGISTIC REGRESSION,0.5458612975391499,0.6152341655960157,0.5458612975391499,0.561894244504802
RANDOM FOREST,0.7114093959731543,0.7199890843458401,0.7114093959731543,0.7140434868012242
XGBOOST,0.7472035794183445,0.730149864087946,0.7472035794183445,0.7314320143687665
